id_site,familia,especie,abundancia,especialista_floresta,endemismo,abundance.metric
Ilha Anchieta/S1,Callitrichidae,Callithrix penicillata,10,sim,OB,4.2 registros/km
Ilha Anchieta/S10,Callitrichidae,Callithrix penicillata,3,sim,OB,1.3 registros/km
Ilha Anchieta/S11,Callitrichidae,Callithrix penicillata,2,sim,OB,0.8 registros/km
Ilha Anchieta/S12,Callitrichidae,Callithrix penicillata,5,sim,OB,2.1 registros/km
Ilha Anchieta/S2,Callitrichidae,Callithrix penicillata,9,sim,OB,3.8 registros/km
Ilha Anchieta/S3,Callitrichidae,Callithrix penicillata,9,sim,OB,3.8 registros/km
Ilha Anchieta/S4,Callitrichidae,Callithrix penicillata,22,sim,OB,4.6 registros/km 
Ilha Anchieta/S5,Callitrichidae,Callithrix penicillata,27,sim,OB,3.6 registros/km
Ilha Anchieta/S6,Callitrichidae,Callithrix penicillata,12,sim,OB,5.0 registros/km
Ilha Anchieta/S7,Callitrichidae,Callithrix penicillata,7,sim,OB,2.9 registros/km
Ilha Anchieta/S8,Callitrichidae,Callithrix penicillata,12,sim,OB,2.5 registros/km
Ilha Anchieta/S9,Callitrichidae,Callithrix penicillata,16,sim,OB,6.7 registros/km
Ilha Anchieta/S1,Cuniculidae,Cuniculus paca,3,sim,OB,0.2 registros/dia
Ilha Anchieta/S10,Cuniculidae,Cuniculus paca,3,sim,OB,0.3 registros/dia
Ilha Anchieta/S12,Cuniculidae,Cuniculus paca,1,sim,OB,0.4 registros/km
Ilha Anchieta/S2,Cuniculidae,Cuniculus paca,1,sim,OB,0.1 registros/dia
Ilha Anchieta/S3,Cuniculidae,Cuniculus paca,1,sim,OB,0.05 registros/dia
Ilha Anchieta/S6,Cuniculidae,Cuniculus paca,4,sim,OB,0.3 registros/dia
Ilha Anchieta/S8,Cuniculidae,Cuniculus paca,2,sim,OB,0.1 registros/dia
Ilha Anchieta/S9,Cuniculidae,Cuniculus paca,1,sim,OB,0.2 registros/dia
Ilha Anchieta/S1, Dasyproctidae,Dasyprocta sp.,23,não,D,2.5 registros/km e 0.9 registros/dia
Ilha Anchieta/S10, Dasyproctidae,Dasyprocta sp.,17,não,D,4.2 registros/km e 0.8 registros/dia
Ilha Anchieta/S11, Dasyproctidae,Dasyprocta sp.,18,não,D,1.7 registros/km e 0.6 registros/dia
Ilha Anchieta/S12, Dasyproctidae,Dasyprocta sp.,20,não,D,1.3 registros/km e 1.3 registros/dia
Ilha Anchieta/S2, Dasyproctidae,Dasyprocta sp.,19,não,D,6.7 registros/km e 0.2 registros/dia
