anilha,especie,local,posicao,hora,hora.cat,idade,sexo,recaptura,data,paisagem
C19318,Platyrinchus mystaceus,Alce,Interior,8:40,M,A,M,C,2/14/2006,Tapirai
C19320,Lathrotriccus euleri,Alce,Interior,10:20,M,A,I,C,2/14/2006,Tapirai
C19321,Platyrinchus mystaceus,Alce,Interior,8:40,M,A,F,C,2/14/2006,Tapirai
C19323,Platyrinchus mystaceus,Alce,Interior,12:20,T,A,M,C,2/14/2006,Tapirai
C19324,Platyrinchus mystaceus,Alce,Interior,8:40,M,J,M,C,2/14/2006,Tapirai
C19325,Platyrinchus mystaceus,Alce,Interior,8:40,M,A,F,C,2/14/2006,Tapirai
C19327,Platyrinchus mystaceus,Alce,Interior,8:40,M,A,F,C,2/14/2006,Tapirai
C19328,Platyrinchus mystaceus,Alce,Interior,8:40,M,A,M,C,2/14/2006,Tapirai
C19331,Platyrinchus mystaceus,Alce,Interior,8:40,M,A,F,T,2/14/2006,Tapirai
C46605,Platyrinchus mystaceus,Alce,Interior,7:50,M,A,F,C,1/14/2007,Tapirai
C46606,Platyrinchus mystaceus,Alce,Interior,19:50,T,A,M,C,1/13/2007,Tapirai
C59468,Sittasomus griseicapillus,Alce,Interior,7:50,M,A,I,C,8/16/2006,Tapirai
D84601,Basileuterus culicivorus,Alce,Interior,10:20,M,A,I,C,7/13/2006,Tapirai
D86501,Basileuterus culicivorus,Alce,Interior,8:00,M,A,I,C,7/12/2006,Tapirai
D86502,Basileuterus culicivorus,Alce,Interior,8:00,M,A,I,C,7/12/2006,Tapirai
D86503,Basileuterus culicivorus,Alce,Interior,9:15,M,A,I,C,7/12/2006,Tapirai
D86504,Mionectes rufiventris,Alce,Interior,10:30,M,A,I,C,7/12/2006,Tapirai
D86505,Basileuterus culicivorus,Alce,Interior,11:50,M,A,I,C,7/12/2006,Tapirai
D86506,Basileuterus leucoblepharus,Alce,Interior,13:00,T,A,I,C,7/12/2006,Tapirai
D86507,Dysithamnus mentalis,Alce,Interior,15:30,T,A,F,C,7/12/2006,Tapirai
D86508,Dysithamnus mentalis,Alce,Interior,15:30,T,A,M,C,7/12/2006,Tapirai
D86509,Basileuterus culicivorus,Alce,Interior,16:30,T,A,I,C,7/12/2006,Tapirai
D86510,Mionectes rufiventris,Alce,Interior,17:10,T,A,I,C,7/12/2006,Tapirai
D86537,Tolmomyias sulphurescens,Alce,Interior,10:50,M,A,I,C,8/17/2006,Tapirai
D86538,Tolmomyias sulphurescens,Alce,Interior,10:50,M,A,I,C,8/17/2006,Tapirai
D86613,Haplospiza unicolor,Alce,Interior,10:00,M,A,F,C,1/14/2007,Tapirai
D86614,Dysithamnus mentalis,Alce,Interior,10:00,M,A,M,C,1/14/2007,Tapirai
D86615,Synallaxis ruficapilla,Alce,Interior,9:20,M,A,I,C,1/13/2007,Tapirai
D86616,Basileuterus culicivorus,Alce,Interior,7:55,M,A,I,C,1/13/2007,Tapirai
D86675,Dysithamnus mentalis,Alce,Interior,7:50,M,A,M,C,8/16/2006,Tapirai
D96029,Platyrinchus mystaceus,Alce,Interior,8:40,M,A,,C,2/13/2006,Tapirai
D96030,Platyrinchus mystaceus,Alce,Interior,13:30,T,A,M,C,2/13/2006,Tapirai
D96241,Leptopogon amaurocephalus,Alce,Interior,10:20,M,A,I,C,2/14/2006,Tapirai
D96243,Basileuterus culicivorus,Alce,Interior,11:50,M,A,I,T,7/13/2006,Tapirai
E67064,Trichothraupis melanops,Alce,Interior,13:00,T,A,F,C,2/14/2006,Tapirai
E67065,Chiroxiphia caudata,Alce,Interior,10:20,M,A,F,C,2/14/2006,Tapirai
E67066,Conopophaga lineata,Alce,Interior,8:40,M,A,F,C,2/14/2006,Tapirai
E67067,Conopophaga lineata,Alce,Interior,8:40,M,A,F,C,2/14/2006,Tapirai
E67070,Conopophaga lineata,Alce,Interior,17:40,T,A,M,T,8/16/2006,Tapirai
E67234,Thamnophilus caerulescens,Alce,Interior,13:30,T,A,F,C,2/13/2006,Tapirai
E67235,Lepidocolaptes fuscus,Alce,Interior,7:50,M,A,I,T,1/14/2007,Tapirai
E67236,Lepidocolaptes fuscus,Alce,Interior,16:30,T,A,,T,7/12/2006,Tapirai
E67237,Lepidocolaptes fuscus,Alce,Interior,7:50,M,A,,T,8/16/2006,Tapirai
E67248,Chiroxiphia caudata,Alce,Interior,9:15,M,A,M,C,7/12/2006,Tapirai
E67249,Chiroxiphia caudata,Alce,Interior,9:15,M,A,F,C,7/12/2006,Tapirai
E67250,Chiroxiphia caudata,Alce,Interior,9:15,M,A,I,C,7/12/2006,Tapirai
E67273,Tachyphonus coronatus,Alce,Interior,11:50,M,A,,T,7/12/2006,Tapirai
E69890,Lepidocolaptes fuscus,Alce,Interior,7:50,M,A,I,C,8/16/2006,Tapirai
E69891,Conopophaga lineata,Alce,Interior,7:50,M,A,F,C,8/16/2006,Tapirai
E72769,Conopophaga lineata,Alce,Interior,7:50,M,A,F,C,8/16/2006,Tapirai
E72770,Picumnus temminckii,Alce,Interior,7:50,M,A,M,C,8/16/2006,Tapirai
E72771,Picumnus temminckii,Alce,Interior,10:30,M,A,M,C,8/16/2006,Tapirai
E72772,Chiroxiphia caudata,Alce,Interior,17:40,T,A,F,C,8/16/2006,Tapirai
E72773,Chiroxiphia caudata,Alce,Interior,17:40,T,A,M,C,8/16/2006,Tapirai
E72801,Basileuterus leucoblepharus,Alce,Interior,9:20,M,A,I,T,1/13/2007,Tapirai
E72803,Conopophaga lineata,Alce,Interior,8:00,M,A,F,C,7/13/2006,Tapirai
E72804,Conopophaga lineata,Alce,Interior,10:20,M,A,F,C,7/13/2006,Tapirai
E72833,Chiroxiphia caudata,Alce,Interior,14:50,T,A,F,C,1/13/2007,Tapirai
E72834,Lepidocolaptes fuscus,Alce,Interior,7:50,M,A,I,C,1/14/2007,Tapirai
E72851,Lepidocolaptes fuscus,Alce,Interior,7:50,M,A,I,C,1/14/2007,Tapirai
E72852,Chiroxiphia caudata,Alce,Interior,9:20,M,A,F,C,1/13/2007,Tapirai
E72853,Chiroxiphia caudata,Alce,Interior,7:55,M,A,F,C,1/13/2007,Tapirai
F17176,Pyriglena leucoptera,Alce,Interior,13:30,T,J,I,C,2/13/2006,Tapirai
F17177,Chiroxiphia caudata,Alce,Interior,13:30,T,A,M,C,2/13/2006,Tapirai
F17178,Trichothraupis melanops,Alce,Interior,15:00,T,A,F,C,2/13/2006,Tapirai
F17179,Chiroxiphia caudata,Alce,Interior,16:20,T,J,M,C,2/13/2006,Tapirai
F17438,Trichothraupis melanops,Alce,Interior,12:20,T,A,F,C,2/14/2006,Tapirai
F2616,Dendrocolaptes platyrostris,Alce,Interior,10:30,M,A,I,C,8/16/2006,Tapirai
F2676,Tachyphonus coronatus,Alce,Interior,7:55,M,J,M,C,1/13/2007,Tapirai
F2677,Pyriglena leucoptera,Alce,Interior,9:20,M,J,F,C,1/13/2007,Tapirai
F2678,Sclerurus scansor,Alce,Interior,7:50,M,A,I,C,1/14/2007,Tapirai
F2679,Syndactyla rufosuperciliata,Alce,Interior,7:50,M,A,I,C,1/14/2007,Tapirai
F2680,Trichothraupis melanops,Alce,Interior,10:00,M,A,M,C,1/14/2007,Tapirai
F2681,Sclerurus scansor,Alce,Interior,13:05,T,A,I,C,1/14/2007,Tapirai
F2701,Pyriglena leucoptera,Alce,Interior,8:00,M,A,M,C,7/12/2006,Tapirai
F2702,Attila rufus,Alce,Interior,9:15,M,A,I,C,7/12/2006,Tapirai
F2703,Attila rufus,Alce,Interior,14:15,T,J,I,C,7/12/2006,Tapirai
F2723,Thamnophilus caerulescens,Alce,Interior,9:00,M,A,M,C,8/17/2006,Tapirai
F7304,Syndactyla rufosuperciliata,Alce,Interior,17:10,T,A,,T,7/12/2006,Tapirai
F7306,Trichothraupis melanops,Alce,Interior,7:50,M,A,M,T,1/14/2007,Tapirai
F7307,Pyriglena leucoptera,Alce,Interior,8:00,M,A,F,C,7/13/2006,Tapirai
F7308,Trichothraupis melanops,Alce,Interior,10:20,M,I,I,C,7/13/2006,Tapirai
F7309,Syndactyla rufosuperciliata,Alce,Interior,12:40,T,A,I,C,7/13/2006,Tapirai
G34094,Pyriglena leucoptera,Alce,Interior,10:20,M,A,M,C,7/13/2006,Tapirai
G34095,Pyriglena leucoptera,Alce,Interior,10:20,M,A,F,C,7/13/2006,Tapirai
G63689,Pyriglena leucoptera,Alce,Interior,8:40,M,A,F,C,2/14/2006,Tapirai
G66544,Dendrocolaptes platyrostris,Alce,Interior,10:30,M,A,I,C,8/16/2006,Tapirai
H52381,Turdus albicollis,Alce,Interior,7:55,M,J,I,C,1/13/2007,Tapirai
H52382,Turdus albicollis,Alce,Interior,7:55,M,A,I,C,1/13/2007,Tapirai
H52383,Turdus rufiventris,Alce,Interior,7:55,M,A,I,C,1/13/2007,Tapirai
H52384,Turdus albicollis,Alce,Interior,14:50,T,A,I,C,1/13/2007,Tapirai
H52385,Turdus albicollis,Alce,Interior,7:50,M,A,I,C,1/14/2007,Tapirai
H52386,Turdus albicollis,Alce,Interior,13:05,T,A,I,C,1/14/2007,Tapirai
H58975,Turdus rufiventris,Alce,Interior,16:00,T,A,I,T,8/16/2006,Tapirai
H58985,Turdus albicollis,Alce,Interior,8:40,M,A,I,C,2/14/2006,Tapirai
H58986,Turdus albicollis,Alce,Interior,8:40,M,J,I,C,2/14/2006,Tapirai
H58987,Turdus albicollis,Alce,Interior,8:40,M,J,I,C,2/14/2006,Tapirai
H58988,Turdus albicollis,Alce,Interior,10:20,M,A,I,C,2/14/2006,Tapirai
H62301,Turdus albicollis,Alce,Interior,8:00,M,A,I,C,7/12/2006,Tapirai
H62302,Turdus albicollis,Alce,Interior,16:30,T,A,I,C,7/12/2006,Tapirai
H62303,Turdus albicollis,Alce,Interior,17:10,T,A,,C,7/12/2006,Tapirai
H62324,Turdus albicollis,Alce,Interior,7:50,M,A,I,C,8/16/2006,Tapirai
H63781,Turdus albicollis,Alce,Interior,9:00,M,A,I,C,8/17/2006,Tapirai
H63782,Turdus rufiventris,Alce,Interior,9:00,M,A,I,C,8/17/2006,Tapirai
H63783,Turdus albicollis,Alce,Interior,17:40,T,A,I,C,8/16/2006,Tapirai
H63784,Turdus albicollis,Alce,Interior,17:40,T,A,I,C,8/16/2006,Tapirai
J45955,Turdus albicollis,Alce,Interior,8:40,M,A,I,C,2/13/2006,Tapirai
J45956,Turdus albicollis,Alce,Interior,8:40,M,J,I,C,2/13/2006,Tapirai
J45957,Turdus rufiventris,Alce,Interior,15:00,T,A,I,C,2/13/2006,Tapirai
L96163,Leptotila verreauxi,Alce,Interior,19:50,T,A,I,C,1/13/2007,Tapirai
L96168,Grallaria varia,Alce,Interior,17:30,T,J,I,C,1/13/2007,Tapirai
W00605,Lepidocolaptes fuscus,Alce,Interior,8:40,M,A,,C,2/13/2006,Tapirai
W00606,Lepidocolaptes fuscus,Alce,Interior,8:40,M,A,I,C,2/13/2006,Tapirai
W00607,Dysithamnus mentalis,Alce,Interior,8:40,M,A,F,C,2/13/2006,Tapirai
W00608,Turdus albicollis,Alce,Interior,8:40,M,A,I,C,2/13/2006,Tapirai
W00609,Turdus leucomelas,Alce,Interior,8:40,M,A,I,C,2/13/2006,Tapirai
W00610,Basileuterus culicivorus,Alce,Interior,8:40,M,A,I,C,2/13/2006,Tapirai
W00611,Basileuterus culicivorus,Alce,Interior,8:40,M,A,I,C,2/13/2006,Tapirai
