Especie,Forest use,Endemic
Amazilia fimbriata,Forest,N
Amazilia lactea,Generalists,N
Amazilia versicolor,Forest,N
Anabacerthia amaurotis,Forest,Y
Anabazenops fuscus,Forest,Y
Arremon semitorquatus,Generalists,Y
Attila rufus,Forest,Y
Automolus leucophthalmus,Generalists,Y
Baryphthengus ruficapillus,Forest,Y
Basileuterus culicivorus,Generalists,N
Basileuterus leucoblepharus,Generalists,Y
Batara cinerea,Generalists,N
Camptostoma obsoletum,Forest,N
Carpornis cucullatus,Forest,Y
Catharus fuscescens,Generalists,N
Celeus flavescens,Generalists,N
Chamaeza campanisona,Forest,N
Chamaeza meruloides,Forest,Y
Chiroxiphia caudata,Generalists,Y
Chlorostilbon aureoventris,Generalists,N
Cichlocolaptes leucophris,Generalists,Y
Clytolaema rubricauda,Forest,Y
Cnemotriccus fuscatus,Forest,N
Coereba flaveola,Forest,N
Colaptes melanochloros,Generalists,N
Conirostrum speciosum,Forest,N
Conopophaga lineata,Generalists,Y
Conopophaga melanops,Forest,Y
Corythopis delalandi,Generalists,N
Cranioleuca pallida,Generalists,Y
Cyclarhis gujanensis,Generalists,N
Dendrocincla turdina,Forest,Y
Dendrocolaptes platyrostris,Forest,N
Drymophila malura,Generalists,Y
Drymophila ochropyga,Forest,Y
Drymophila squamata,Forest,Y
Dryocopus lineatus,Generalists,N
Dysithamnus mentalis,Generalists,N
Eupetonema macroura,Generalists,N
Euphonia pectoralis,Forest,Y
Euphonia violacea,Forest,N
Formicarius colma,Forest,N
Geotrygon montana,Forest,N
Grallaria varia,Generalists,N
Habia rubica,Forest,N
Haplospiza unicolor,Forest,Y
Heliobletus contaminatus,Forest,Y
Hemitriccus diops,Forest,Y
Hemitriccus obsoletus,Forest,Y
Hemitriccus orbitatus,Forest,Y
Hylophilus poicilotis,Generalists,Y
Hypoedaleus guttatus,Forest,Y
Ilicura militaris,Forest,Y
Knipolegus cyanirostris,Generalists,N
Lathrotriccus euleri,Generalists,N
Lepidocolaptes fuscus,Forest,Y
Lepidocolaptes squamatus,Forest,Y
Leptopogon amaurocephalus,Generalists,N
Leptotila rufaxilla,Generalists,N
Leptotila verreauxi,Generalists,N
Leucochloris albicollis,Generalists,Y
Lochmias nematura,Generalists,N
Mackenziaena severa,Generalists,Y
Mackenziana leachii,Generalists,Y
Malacoptila striata,Generalists,Y
Manacus manacus,Forest,N
Melanotrochilus fuscus,Generalists,Y
Micrastur ruficollis,Forest,N
Mionectes rufiventris,Generalists,Y
Myiarchus swainsoni,Generalists,N
Myiobius atricaudus,Forest,N
Myiobius barbatus,Forest,N
Myiodynastes maculatus,Generalists,N
Myrmeciza squamosa,Forest,Y
Myrmotherula gularis,Forest,Y
Myrmotherula minor,Forest,Y
Myrmotherula unicolor,Forest,Y
Neopelma chrysolophum,Forest,Y
Nonnula rubecula,Forest,N
Odontophorus capueira,Forest,Y
Onychorhynchus coronatus,Forest,N
Pachyramphus polychopterus,Generalists,N
Phaeothlypis rivularis,Forest,N
Phaethornis eurynome,Forest,Y
Phaethornis pretrei,Generalists,N
Phaethornis squalidus,Forest,N
Philydor atricapillus,Forest,Y
Philydor lichtensteini,Forest,Y
Philydor rufus,Forest,N
Phylloscartes ventralis,Generalists,N
Piaya cayana,Generalists,N
Picumnus cirratus,Generalists,N
Picumnus temminckii,Generalists,Y
Pipraeidea melanonota,Generalists,N
Platycichla flavipes,Forest,N
Platyrinchus leucoryphus,Forest,Y
Platyrinchus mystaceus,Generalists,N
Pyriglena leucoptera,Forest,Y
Pyroderus scutatus,Generalists,Y
Pyrrhocoma ruficeps,Generalists,Y
Ramphastos dicolorus,Forest,Y
Ramphodon naevius,Forest,Y
Ramphotrigon megacephala,Forest,N
Rupornis magnirostris,Generalists,N
Saltator similis,Generalists,N
Schiffornis virescens,Forest,Y
Sclerurus scansor,Forest,Y
Scytalopus speluncae,Forest,Y
Selenidera maculirostris,Forest,Y
Sittasomus griseicapillus,Forest,N
Sporophila caerulescens,Generalists,N
Sporophila lineola,Forest,N
Synallaxis cinerascens,Generalists,N
Synallaxis ruficapilla,Generalists,Y
Synallaxis spixi,Generalists,N
Syndactyla rufosuperciliata,Generalists,N
Tachyphonus coronatus,Generalists,Y
Tangara cayana,Generalists,N
Tangara desmaresti,Forest,Y
Tangara seledon,Forest,Y
Thalurania glaucopis,Forest,Y
Thamnophilus caerulescens,Generalists,N
Thlypopsis sordida,Generalists,N
Thraupis cyanoptera,Forest,Y
Thraupis sayaca,Generalists,N
Tiaris fuliginosus,Generalists,N
Todirostrum plumbeiceps,Generalists,N
Tolmomyias sulphurescens,Generalists,N
Trichothraupis melanops,Generalists,N
Troglodytes musculus,Generalists,N
Trogon rufus,Forest,N
Turdus albicollis,Generalists,N
Turdus amaurochalinus,Generalists,N
Turdus leucomelas,Generalists,N
Turdus rufiventris,Generalists,N
Veniliornis spilogaster,Generalists,Y
Vireo olivaceus,Generalists,N
Volatinia jacarina,Generalists,N
Xenops minutus,Forest,N
Xiphocolaptes albicollis,Forest,N
