id_estudo,Responsável ,Taxon,Nome/ID do site,Tipo/qualidade da floresta,Matriz circundante,Coordenadas S,Coordenadas O,Zona UTM,Municipios,Ano de coleta,Método de coleta,Esforço amostral, Coordenadas O (X) Decimais,Coordenadas S (Y) - Decimais,Riqueza total,Riqueza_spp dependentes de floresta,Abundância total,Abundância_spp dependentes de floresta,Esforço
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Alce,,,-23.8507331,-47.45995383,,,,,,-47.45995383,-23.8507331,32,25,135,112,680
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Alcides,,,-23.74381762,-47.06421071,,,,,,-47.06421071,-23.74381762,29,23,82.15613383,65.72490706,538
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Alteres,,,-24.05668239,-48.32583406,,,,,,-48.32583406,-24.05668239,27,21,93.24099723,64.98614958,722
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Antenor Frag,,,-23.91946514,-47.45190626,,,,,,-47.45190626,-23.91946514,27,23,64,58,680
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Areial,,,-24.20919209,-48.16844414,,,,,,-48.16844414,-24.20919209,21,19,63.79530917,60.89552239,469
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Baleia,,,-23.88849183,-47.45997071,,,,,,-47.45997071,-23.88849183,22,17,52,42,680
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Beto Jamil,,,-23.71472333,-47.0719501,,,,,,-47.0719501,-23.71472333,24,19,95.3271028,68.63551402,535
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Bicudinho,,,-23.88570593,-47.48279138,,,,,,-47.48279138,-23.88570593,21,17,76,53,680
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Boiadeiro,,,-24.09509986,-48.32713082,,,,,,-48.32713082,-24.09509986,22,15,91.78519594,66.12481858,689
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Bojado,,,-24.05575327,-48.35180151,,,,,,-48.35180151,-24.05575327,26,20,119.887165,104.5416079,709
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Campinho,,,-24.24148094,-48.2958006,,,,,,-48.2958006,-24.24148094,33,28,110.928382,91.98938992,754
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Capinzal,,,-24.18021937,-48.23408171,,,,,,-48.23408171,-24.18021937,32,29,91.10497238,82.6519337,724
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Carmo Messias,,,-23.7497359,-47.05506439,,,,,,-47.05506439,-23.7497359,17,12,84.21441774,55.30499076,541
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Citadini,,,-24.06358454,-48.39312174,,,,,,-48.39312174,-24.06358454,24,19,109.8989899,79.48051948,693
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Cobrinha,,,-23.96109113,-47.40548484,,,,,,-47.40548484,-23.96109113,36,33,120,110,680
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Criscross,,,-23.95719435,-47.37691681,,,,,,-47.37691681,-23.95719435,32,30,137,130,680
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Cristo,,,-23.85083798,-47.47537404,,,,,,-47.47537404,-23.85083798,24,20,80,68,680
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Cromossomo,,,-24.09909312,-48.30015728,,,,,,-48.30015728,-24.09909312,31,25,158.1395349,132.4418605,688
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Dito,,,-23.76792203,-47.04535373,,,,,,-47.04535373,-23.76792203,17,13,51.62962963,36.51851852,540
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Dito Andre,,,-23.73515342,-47.05855256,,,,,,,,24,21,85.47134935,72.90203327,541
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Divisa,,,-24.06315441,-48.37483743,,,,,,-48.37483743,-24.06315441,36,26,127.6164384,99.67123288,730
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Dn. Ivone,,,-23.85403485,-47.44875886,,,,,,-47.44875886,-23.85403485,30,20,74,52,680
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Eme,,,-23.87585849,-47.47995305,,,,,,-47.47995305,-23.87585849,25,20,85,69,680
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Escumador,,,-24.20507381,-48.19754193,,,,,,-48.19754193,-24.20507381,19,18,60.64327485,58.65497076,684
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Estrada,,,-23.87321665,-47.49038606,,,,,,-47.49038606,-23.87321665,29,18,71,50,680
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Falopio,,,-24.05648329,-48.30011629,,,,,,-48.30011629,-24.05648329,31,22,152.6330935,115.4532374,695
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Fuzue,,,-23.84332019,-47.4493131,,,,,,-47.4493131,-23.84332019,24,20,70,61,680
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Godoy,,,-23.72404599,-47.07291141,,,,,,-47.07291141,-23.72404599,27,23,89.40740741,74.2962963,540
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Haras,,,-23.85704797,-47.42206008,,,,,,-47.42206008,-23.85704797,23,18,36,27,680
Cristina_BanksLeite,Cristina Banks-Leite,Aves,Harpa,,,-24.04898308,-48.31344301,,,,,,-48.31344301,-24.04898308,27,18,101.2965517,70.34482759,725
