id_site,especie,abundance,especialista_floresta,endemismo
Alce,Platyrinchus mystaceus,13,Generalists,N
Alce,Lathrotriccus euleri,1,Generalists,N
Alce,Sittasomus griseicapillus,1,Forest,N
Alce,Basileuterus culicivorus,10,Generalists,N
Alce,Mionectes rufiventris,2,Generalists,Y
Alce,Myiothlypis leucoblephara,2,Generalists,Y
Alce,Dysithamnus mentalis,5,Generalists,N
Alce,Tolmomyias sulphurescens,2,Generalists,N
Alce,Haplospiza unicolor,1,Forest,Y
Alce,Synallaxis ruficapilla,1,Generalists,Y
Alce,Leptopogon amaurocephalus,1,Generalists,N
Alce,Trichothraupis melanops,7,Generalists,N
Alce,Chiroxiphia caudata,11,Generalists,Y
Alce,Conopophaga lineata,7,Generalists,Y
Alce,Thamnophilus caerulescens,3,Generalists,N
Alce,Lepidocolaptes fuscus,8,Forest,Y
Alce,Tachyphonus coronatus,2,Generalists,Y
Alce,Picumnus temminckii,2,Generalists,Y
Alce,Pyriglena leucoptera,8,Forest,Y
Alce,Dendrocolaptes platyrostris,2,Forest,N
Alce,Sclerurus scansor,2,Forest,Y
Alce,Syndactyla rufosuperciliata,3,Generalists,N
Alce,Attila rufus,2,Forest,Y
Alce,Turdus albicollis,19,Generalists,N
Alce,Turdus rufiventris,4,Generalists,N
Alce,Leptotila verreauxi,1,Generalists,N
Alce,Grallaria varia,1,Generalists,N
Alce,Turdus leucomelas,1,Generalists,N
Alce,Phaethornis eurynome,6,Forest,Y
Alce,Thalurania glaucopis,4,Forest,Y
Alce,Melanotrochilus fuscus,2,Generalists,Y
Alce,Phaethornis squalidus,1,Forest,N
Alcides,Platyrinchus mystaceus,2,Generalists,N
Alcides,Leptopogon amaurocephalus,1,Generalists,N
Alcides,Lathrotriccus euleri,1,Generalists,N
Alcides,Hemitriccus diops,2,Forest,Y
Alcides,Hylophilus poicilotis,1,Generalists,Y
Alcides,Dysithamnus mentalis,1,Generalists,N
Alcides,Tolmomyias sulphurescens,2,Generalists,N
Alcides,Basileuterus culicivorus,5,Generalists,N
Alcides,Myiothlypis leucoblephara,4,Generalists,Y
Alcides,Chiroxiphia caudata,2,Generalists,Y
Alcides,Sittasomus griseicapillus,2,Forest,N
Alcides,Mionectes rufiventris,1,Generalists,Y
Alcides,Drymophila malura,3,Generalists,Y
Alcides,Synallaxis ruficapilla,4,Generalists,Y
Alcides,Trichothraupis melanops,3,Generalists,N
Alcides,Thamnophilus caerulescens,2,Generalists,N
Alcides,Lepidocolaptes fuscus,3,Forest,Y
Alcides,Tachyphonus coronatus,5,Generalists,Y
Alcides,Pyriglena leucoptera,1,Forest,Y
Alcides,Conopophaga lineata,5,Generalists,Y
Alcides,Syndactyla rufosuperciliata,2,Generalists,N
Alcides,Turdus rufiventris,2,Generalists,N
Alcides,Saltator similis,1,Generalists,N
Alcides,Dendrocolaptes platyrostris,2,Forest,N
Alcides,Malacoptila striata,1,Generalists,Y
Alcides,Turdus albicollis,3,Generalists,N
Alcides,Sclerurus scansor,1,Forest,Y
Alcides,Todirostrum plumbeiceps,2,Generalists,N
Alcides,Phaethornis eurynome,1,Forest,Y
Alteres,Dysithamnus mentalis,9,Generalists,N
Alteres,Platyrinchus mystaceus,4,Generalists,N
Alteres,Hemitriccus diops,2,Forest,Y
Alteres,Basileuterus culicivorus,8,Generalists,N
Alteres,Myiothlypis leucoblephara,4,Generalists,Y
Alteres,Mionectes rufiventris,1,Generalists,Y
Alteres,Corythopis delalandi,1,Generalists,N
Alteres,Leptopogon amaurocephalus,2,Generalists,N
Alteres,Trichothraupis melanops,6,Generalists,N
Alteres,Conopophaga lineata,9,Generalists,Y
Alteres,Chiroxiphia caudata,12,Generalists,Y
Alteres,Schiffornis virescens,4,Forest,Y
Alteres,Picumnus temminckii,1,Generalists,Y
Alteres,Lepidocolaptes fuscus,4,Forest,Y
Alteres,Automolus leucophthalmus,4,Generalists,Y
Alteres,Syndactyla rufosuperciliata,1,Generalists,N
Alteres,Saltator similis,2,Generalists,N
Alteres,Thamnophilus caerulescens,1,Generalists,N
Alteres,Turdus rufiventris,8,Generalists,N
Alteres,Tachyphonus coronatus,4,Generalists,Y
Alteres,Turdus albicollis,2,Generalists,N
Alteres,Habia rubica,1,Forest,N
Alteres,Phaethornis eurynome,1,Forest,Y
Alteres,Thalurania glaucopis,3,Forest,Y
Alteres,Leptotila verreauxi,2,Generalists,N
Alteres,Leptotila rufaxilla,1,Generalists,N
Alteres,Arremon semitorquatus,1,Generalists,Y
Antenor Frag,Mionectes rufiventris,3,Generalists,Y
Antenor Frag,Hemitriccus diops,1,Forest,Y
Antenor Frag,Platyrinchus mystaceus,6,Generalists,N
Antenor Frag,Sittasomus griseicapillus,5,Forest,N
Antenor Frag,Rhopias gularis ,2,Forest,Y
Antenor Frag,Myiobius atricaudus,1,Forest,N
Antenor Frag,Myrmoderus squamosus,3,Forest,Y
Antenor Frag,Dysithamnus mentalis,4,Generalists,N
Antenor Frag,Schiffornis virescens,1,Forest,Y
Antenor Frag,Myiothlypis leucoblephara,1,Generalists,Y
Antenor Frag,Lepidocolaptes fuscus,2,Forest,Y
Antenor Frag,Xenops minutus,1,Forest,N
Antenor Frag,Basileuterus culicivorus,1,Generalists,N
Antenor Frag,Trichothraupis melanops,3,Generalists,N
Antenor Frag,Chiroxiphia caudata,3,Generalists,Y
Antenor Frag,Haplospiza unicolor,3,Forest,Y
Antenor Frag,Onychorhynchus swainsoni,1,Forest,N
Antenor Frag,Conopophaga lineata,6,Generalists,Y
Antenor Frag,Sclerurus scansor,2,Forest,Y
Antenor Frag,Sporophila lineola,1,Forest,N
Antenor Frag,Pyriglena leucoptera,7,Forest,Y
Antenor Frag,Automolus leucophthalmus,2,Generalists,Y
Antenor Frag,Anabazenops fuscus,3,Forest,Y
Antenor Frag,Attila rufus,1,Forest,Y
Antenor Frag,Turdus rufiventris,1,Generalists,N
Antenor Frag,Colaptes melanochloros,1,Generalists,N
Antenor Frag,Thalurania glaucopis,2,Forest,Y
Areial,Platyrinchus mystaceus,5,Generalists,N
Areial,Basileuterus culicivorus,1,Generalists,N
Areial,Myrmotherula unicolor,1,Forest,Y
Areial,Dysithamnus mentalis,1,Generalists,N
Areial,Rhopias gularis ,2,Forest,Y
Areial,Mionectes rufiventris,1,Generalists,Y
Areial,Trichothraupis melanops,2,Generalists,N
Areial,Tachyphonus coronatus,1,Generalists,Y
Areial,Habia rubica,2,Forest,N
Areial,Philydor atricapillus,3,Forest,Y
Areial,Anabacerthia amaurotis,1,Forest,Y
Areial,Chiroxiphia caudata,1,Generalists,Y
Areial,Sclerurus scansor,2,Forest,Y
