allspecies,birdlife match
Aratinga aurea,Eupsittula aurea 
Aratinga leucophthalma,Psittacara leucophthalmus 
Basileuterus flaveolus,Myiothlypis flaveola 
Basileuterus leucoblepharus,Myiothlypis leucoblephara
Buteo magnirostris,Rupornis magnirostris
Caprimulgus rufus,Antrostomus rufus
Carduelis magellanica,Spinus magellanicus 
Casiornis rufus,Casiornis rufus
Catharus fuscescens,Catharus fuscescens
Chrysolampis mosquitus,Chrysolampis mosquitus
Coccyzus americanus,Coccyzus americanus
Coereba flaveola,Coereba flaveola
Crypturellus undulatus,Crypturellus undulatus
Cyanocorax cristatellus,Cyanocorax cristatellus
Dendrocincla fuliginosa,Dendrocincla fuliginosa
Dendroplex picus,Dendroplex picus
Dryocopus lineatus,Hylatomus lineatus
Hemithraupis guira,Hemithraupis guira
Herpsilochmus atricapillus,Herpsilochmus atricapillus
Herpsilochmus pileatus,Herpsilochmus pileatus
Hylocharis chrysura,Hylocharis chrysura
Icterus jamacaii,Icterus jamacaii
Lepidocolaptes angustirostris,Lepidocolaptes angustirostris
Lepidocolaptes falcinellus,Lepidocolaptes falcinellus
Leucopternis polionotus,Pseudastur polionotus 
Momotus momota,Momotus momota
Myiodynastes maculatus,Myiodynastes solitarius
Myrmeciza squamosa,Myrmoderus squamosus
Myrmotherula gularis,Rhopias gularis 
Notharchus swainsoni,Notharchus swainsoni
Nystalus maculatus,Nystalus maculatus
Onychorhynchus coronatus,Onychorhynchus swainsoni
Parula pitiayumi,Setophaga pitiayumi
Phaeothlypis rivularis,Myiothlypis rivularis
Philydor lichtensteini,Anabacerthia lichtensteini 
Picumnus albosquamatus,Picumnus albosquamatus
Pipra fasciicauda,Pipra fasciicauda
Pipra pipra,Pseudopipra pipra
Pipra rubrocapilla,Ceratopipra rubrocapilla
Pteroglossus castanotis,Pteroglossus castanotis
Pyrrhocoma ruficeps,Thlypopsis pyrrhocoma
Sporophila lineola,Sporophila lineola
Strix virgata,Ciccaba virgata
Synallaxis frontalis,Synallaxis frontalis
Tachyphonus cristatus,Islerothraupis cristata
Tachyphonus rufus,Tachyphonus rufus
Tangara cayana,Tangara flava
Tangara mexicana,Tangara brasiliensis
Tangara velia,Tangara cyanomelas
Thamnophilus ambiguus,Thamnophilus ambiguus
