Order,Family name,Family,Common_name,Scientific_name,Authority,BirdLife_taxonomic_treatment,2018_IUCN_Redlist,Synonyms
STRUTHIONIFORMES,Struthionidae,Ostriches,Common Ostrich,Struthio camelus,"Linnaeus, 1758",R,LC,
STRUTHIONIFORMES,Struthionidae,Ostriches,Somali Ostrich,Struthio molybdophanes,"Reichenow, 1883",R,VU,
STRUTHIONIFORMES,Struthionidae,Ostriches,,Struthio camelus,"Linnaeus, 1758",NR,NR,
STRUTHIONIFORMES,Rheidae,Rheas,Greater Rhea,Rhea americana,"(Linnaeus, 1758)",R,NT,
STRUTHIONIFORMES,Rheidae,Rheas,Lesser Rhea,Rhea pennata,"d'Orbigny, 1834",R,LC,
STRUTHIONIFORMES,Rheidae,Rheas,Puna Rhea,Rhea tarapacensis,"(Chubb, 1913)",R,NT,
STRUTHIONIFORMES,Rheidae,Rheas,,Rhea pennata,"d'Orbigny, 1834",NR,NR,
STRUTHIONIFORMES,Rheidae,Rheas,,Rhea nana,"Lydekker, 1894",NR,NR,
STRUTHIONIFORMES,Rheidae,Rheas,,Pterocnemia tarapacensis,"Chubb, 1913",NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,Tawny-breasted Tinamou,Nothocercus julius,"(Bonaparte, 1854)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Highland Tinamou,Nothocercus bonapartei,"Gray, 1867",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Hooded Tinamou,Nothocercus nigrocapillus,"(G. R. Gray, 1867)",R,VU,
STRUTHIONIFORMES,Tinamidae,Tinamous,Grey Tinamou,Tinamus tao,"Temminck, 1815",R,VU,
STRUTHIONIFORMES,Tinamidae,Tinamous,Solitary Tinamou,Tinamus solitarius,"(Vieillot, 1819)",R,NT,
STRUTHIONIFORMES,Tinamidae,Tinamous,Black Tinamou,Tinamus osgoodi,"Conover, 1949",R,VU,
STRUTHIONIFORMES,Tinamidae,Tinamous,Great Tinamou,Tinamus major,"(Gmelin, 1789)",R,NT,
STRUTHIONIFORMES,Tinamidae,Tinamous,White-throated Tinamou,Tinamus guttatus,"Pelzeln, 1863",R,NT,
STRUTHIONIFORMES,Tinamidae,Tinamous,Berlepsch's Tinamou,Crypturellus berlepschi,"Rothschild, 1897",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Cinereous Tinamou,Crypturellus cinereus,"(Gmelin, 1789)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Tepui Tinamou,Crypturellus ptaritepui,"Zimmer & Phelps, 1945",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Little Tinamou,Crypturellus soui,"(Hermann, 1783)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Brown Tinamou,Crypturellus obsoletus,"(Temminck, 1815)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Undulated Tinamou,Crypturellus undulatus,"(Temminck, 1815)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Brazilian Tinamou,Crypturellus strigulosus,"(Temminck, 1815)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Grey-legged Tinamou,Crypturellus duidae,"Zimmer, 1938",R,NT,
STRUTHIONIFORMES,Tinamidae,Tinamous,Red-legged Tinamou,Crypturellus erythropus,"(Pelzeln, 1863)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Yellow-legged Tinamou,Crypturellus noctivagus,"(Wied, 1820)",R,NT,
STRUTHIONIFORMES,Tinamidae,Tinamous,Black-capped Tinamou,Crypturellus atrocapillus,"(Tschudi, 1844)",R,NT,
STRUTHIONIFORMES,Tinamidae,Tinamous,Western Thicket Tinamou,Crypturellus occidentalis,"(Salvadori, 1985)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Eastern Thicket Tinamou,Crypturellus cinnamomeus,"(Lesson, 1842)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Pale-browed Tinamou,Crypturellus transfasciatus,"(Sclater & Salvin, 1878)",R,NT,
STRUTHIONIFORMES,Tinamidae,Tinamous,Slaty-breasted Tinamou,Crypturellus boucardi,"(Sclater, 1859)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Choco Tinamou,Crypturellus kerriae,"(Chapman, 1915)",R,VU,
STRUTHIONIFORMES,Tinamidae,Tinamous,Variegated Tinamou,Crypturellus variegatus,"(Gmelin, 1789)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Rusty Tinamou,Crypturellus brevirostris,"(Pelzeln, 1863)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Bartlett's Tinamou,Crypturellus bartletti,"(Sclater & Salvin, 1873)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Barred Tinamou,Crypturellus casiquiare,"(Chapman, 1929)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Small-billed Tinamou,Crypturellus parvirostris,"(Wagler, 1827)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Tataupa Tinamou,Crypturellus tataupa,"(Temminck, 1815)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,,Crypturellus idoneus,"(Todd, 1919)",NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,,Crypturellus columbianus,"(Salvadori, 1895)",NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,,Crypturellus saltuarius,"Wetmore, 1950",NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,,Crypturellus cinnamomeus,"(Lesson, 1842)",NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,,Crypturellus erythropus,"(Pelzeln, 1863)",NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,Red-winged Tinamou,Rhynchotus rufescens,"(Temminck, 1815)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Huayco Tinamou,Rhynchotus maculicollis,"G.R. Gray, 1867",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,,Rhynchotus rufescens,"(Temminck, 1815)",NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,Taczanowski's Tinamou,Nothoprocta taczanowskii,"Sclater & Salvin, 1875",R,VU,
STRUTHIONIFORMES,Tinamidae,Tinamous,Ornate Tinamou,Nothoprocta ornata,"(Gray, 1867)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Chilean Tinamou,Nothoprocta perdicaria,"(Kittlitz, 1830)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Brushland Tinamou,Nothoprocta cinerascens,"(Burmeister, 1860)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Andean Tinamou,Nothoprocta pentlandii,"(Gray, 1867)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Curve-billed Tinamou,Nothoprocta curvirostris,"Sclater & Salvin, 1873",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,,Nothoprocta kalinowskii,"Berlepsch & Stolzmann, 1901",NR,NR,
STRUTHIONIFORMES,Tinamidae,Tinamous,White-bellied Nothura,Nothura boraquira,"(Spix, 1825)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Lesser Nothura,Nothura minor,"(Spix, 1825)",R,VU,
STRUTHIONIFORMES,Tinamidae,Tinamous,Darwin's Nothura,Nothura darwinii,"Gray, 1867",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Spotted Nothura,Nothura maculosa,"(Temminck, 1815)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Chaco Nothura,Nothura chacoensis,"Conover, 1937",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Dwarf Tinamou,Taoniscus nanus,"(Temminck, 1815)",R,EN,
STRUTHIONIFORMES,Tinamidae,Tinamous,Elegant Crested Tinamou,Eudromia elegans,"Geoffroy Saint-Hilaire, 1832",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Quebracho Crested Tinamou,Eudromia formosa,"(Lillo, 1905)",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Puna Tinamou,Tinamotis pentlandii,"Vigors, 1837",R,LC,
STRUTHIONIFORMES,Tinamidae,Tinamous,Patagonian Tinamou,Tinamotis ingoufi,"Oustalet, 1890",R,LC,
STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",Southern Cassowary,Casuarius casuarius,"(Linnaeus, 1758)",R,LC,
STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",Dwarf Cassowary,Casuarius bennetti,"Gould, 1857",R,LC,
STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",Northern Cassowary,Casuarius unappendiculatus,"Blyth, 1860",R,LC,
STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",Common Emu,Dromaius novaehollandiae,"(Latham, 1790)",R,LC,
STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",King Island Emu,Dromaius minor,"Spencer, 1906",R,EX,Dromaius ater
STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",Kangaroo Island Emu,Dromaius baudinianus,"S. A. Parker, 1984",R,EX,
STRUTHIONIFORMES,Casuariidae,"Cassowaries, emus",,Dromaius novaehollandiae,"(Latham, 1790)",NR,NR,
STRUTHIONIFORMES,Apterygidae,Kiwis,Great Spotted Kiwi,Apteryx haastii,"Potts, 1872",R,VU,
STRUTHIONIFORMES,Apterygidae,Kiwis,Little Spotted Kiwi,Apteryx owenii,"Gould, 1847",R,NT,
STRUTHIONIFORMES,Apterygidae,Kiwis,Northern Brown Kiwi,Apteryx mantelli,"Bartlett, 1851",R,VU,
STRUTHIONIFORMES,Apterygidae,Kiwis,Southern Brown Kiwi,Apteryx australis,"Shaw, 1813",R,VU,
STRUTHIONIFORMES,Apterygidae,Kiwis,Okarito Kiwi,Apteryx rowi,"Tennyson, Palma, Robertson, Worthy & Gill, 2003",R,VU,
STRUTHIONIFORMES,Apterygidae,Kiwis,,Apteryx australis,"Shaw, 1813",NR,NR,
STRUTHIONIFORMES,Apterygidae,Kiwis,,Apteryx mantelli,"Bartlett, 1851",NR,NR,
GALLIFORMES,Megapodiidae,Megapodes,Australian Brush-turkey,Alectura lathami,"Gray, 1831",R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Wattled Brush-turkey,Aepypodius arfakianus,"(Salvadori, 1877)",R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Waigeo Brush-turkey,Aepypodius bruijnii,"(Oustalet, 1880)",R,EN,
GALLIFORMES,Megapodiidae,Megapodes,Red-billed Brush-turkey,Talegalla cuvieri,"Lesson, 1828",R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Black-billed Brush-turkey,Talegalla fuscirostris,"Salvadori, 1877",R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Collared Brush-turkey,Talegalla jobiensis,"Meyer, 1874",R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Malleefowl,Leipoa ocellata,"Gould, 1840",R,VU,
GALLIFORMES,Megapodiidae,Megapodes,Maleo,Macrocephalon maleo,"Müller, 1846",R,EN,
GALLIFORMES,Megapodiidae,Megapodes,Moluccan Scrubfowl,Eulipoa wallacei,"(Gray, 1860)",R,VU,
GALLIFORMES,Megapodiidae,Megapodes,Nicobar Scrubfowl,Megapodius nicobariensis,"Blyth, 1846",R,VU,
GALLIFORMES,Megapodiidae,Megapodes,Philippine Scrubfowl,Megapodius cumingii,"Dillwyn, 1853",R,LC,
GALLIFORMES,Megapodiidae,Megapodes,Sula Scrubfowl,Megapodius bernsteinii,"Schlegel, 1866",R,VU,
