id_site,familia,especie,abundancia,especialista_floresta,endemismo
Dragao,Cricetidae,Akodon montensis,39,Nao,OB
Dragao,Cricetidae,Bibimys labiosus,6,Nao,OB
Dragao,Cricetidae,Brucepattersonius soricinus ,12,Sim,MA-BR
Dragao,Cricetidae,Calomys tener,1,Nao,OB
Dragao,Cricetidae,Delomys sublineatus,2,Sim,MA-BR
Dragao,Didelphidae,Marmosops incanus,10,Sim,MA-BR
Dragao,Didelphidae,Monodelphis iheringi,10,Sim,MA-BR
Dragao,Cricetidae,Oligoryzomys flavescens,2,Nao,OB
Dragao,Cricetidae,Oligoryzomys nigripes,156,Nao,OB
Dragao,Cricetidae,Sooretamys angouya,1,Sim,"MA-BR, MA-PA, MA-AR"
Tucano,Cricetidae,Akodon montensis,46,Nao,OB
Tucano,Cricetidae,Bibimys labiosus,5,Nao,OB
Tucano,Cricetidae,Brucepattersonius soricinus ,3,Sim,MA-BR
Tucano,Cricetidae,Calomys tener,1,Nao,OB
Tucano,Cricetidae,Delomys sublineatus,7,Sim,MA-BR
Tucano,Didelphidae,Gracilinanus microtarsus,1,Sim,MA-BR
Tucano,Didelphidae,Marmosops incanus,15,Sim,MA-BR
Tucano,Cricetidae,Necromys lasiurus,4,Nao,OB
Tucano,Cricetidae,Oligoryzomys flavescens,1,Nao,OB
Tucano,Cricetidae,Oligoryzomys nigripes,60,Nao,OB
Tucano,Cricetidae,Oxymycterus dasytrichus,1,Sim,MA-BR
Tucano,Cricetidae,Oxymycterus judex,1,Sim,D
Tucano,Muridae,Rattus rattus,1,Nao,OB
Tucano,Cricetidae,Sooretamys angouya,2,Sim,"MA-BR, MA-PA, MA-AR"
Dito Andre,Cricetidae,Akodon montensis,46,Nao,OB
Dito Andre,Cricetidae,Bibimys labiosus,1,Nao,OB
Dito Andre,Cricetidae,Brucepattersonius soricinus ,15,Sim,MA-BR
Dito Andre,Cricetidae,Calomys tener,5,Nao,OB
Dito Andre,Didelphidae,Gracilinanus microtarsus,1,Sim,MA-BR
Dito Andre,Didelphidae,Marmosops incanus,6,Sim,MA-BR
Dito Andre,Cricetidae,Necromys lasiurus,2,Nao,OB
Dito Andre,Cricetidae,Oligoryzomys nigripes,73,Nao,OB
Dito Andre,Cricetidae,Sooretamys angouya,4,Sim,"MA-BR, MA-PA, MA-AR"
Horacio,Cricetidae,Akodon montensis,4,Nao,OB
Horacio,Cricetidae,Akodon serrensis,1,Sim,D
Horacio,Cricetidae,Brucepattersonius soricinus ,19,Sim,MA-BR
Horacio,Cricetidae,Delomys sublineatus,23,Sim,MA-BR
Horacio,Cricetidae,Euryoryzomys russatus,28,Sim,"MA-BR, MA-PA, MA-AR"
Horacio,Cricetidae,Drymoreomys albimaculatus,1,Sim,MA-BR
Horacio,Didelphidae,Gracilinanus microtarsus,2,Sim,MA-BR
